Brussels,Q239
Tongeren,Q31558934
Torhout,Q31559193
Tremelo,Q21763503
Turnhout,Q31565056
Veurne,Q31572147
Vilvoorde,Q31573419
Vorselaar,Q21760123
Vosselaar,Q21760126
Waarschoot,Q21760149
Waasmunster,Q21760151
Wachtebeke,Q21760152
Waregem,Q31578256
Wellen,Q21760239
Wemmel,Q31581536
Wenduine,Q31581536
Wervik,Q21760253
Westerlo,Q26235476
Wetteren,Q31584348
Wevelgem,Q31584391
Wezembeek-Oppem,Q21760265
Wichelen,Q21760268
Wielsbeke,Q21760270
Wijnegem,Q21760276
Willebroek,Q31588325
Wingene,Q21760299
Wommelgem,Q21760331
Wuustwezel,Q21760336
Zandhoven,Q21760351
Zaventem,Q31596381
Zedelgem,Q31596396
Zeebrugge,Q184383
Zele,Q31596471
Zelzate,Q21760359
Zemst,Q31596500
Zingem,Q21760366
Zoersel,Q31596621
Zomergem,Q31596621
Zonhoven,Q31596651
Zonnebeke,Q31596665
Zottegem,Q31596711
Zoutleeuw,Q21760368
Zuienkerke,Q31596742
Zulte,Q21760371
Zutendaal,Q21760375
Zwevegem,Q31596787
Zwijndrecht,Q21756899
Aiseau,Q21770026
Amay,Q21770059
Amblève,Q21770061
Andenne,Q21770061
Anderlues,Q31466213
Anhée,Q21770072
Ans,Q31466969
Anthisnes,Q21770077
Antoing,Q21770079
Arlon,Q12359550
Assesse,Q21770103
Ath,Q31469957
Attert,Q12359898
Aubange,Q21770109
Aubel,Q21770111
Awans,Q21770138
Aywaille,Q21770141
Baelen,Q21770157
"Basse Lasne",Q21770198
Bassenge,Q21770201
Bastogne,Q25634689
Beaumont,Q21770217
Beauraing,Q10909383
Beauvechain,Q31494139
Beloeil,Q21770255
Berloz,Q21770277
Bernissart,Q21770281
Bertogne,Q31497290
Bertrix,Q21770292
Beyne-Heusay,Q31498075
Bièvre,Q21770327
Binche,Q31502281
Blégny,Q21770345
Bouillon,Q12360419
Boussu,Q31510518
Braine-l'Alleud,Q31511377
Braine-le-Château,Q31511393
Braine-le-Comte,Q31511408
Braives,Q21770459
Brugelette,Q21770494
Brunehault,Q12994
Bullange,Q21770526
Burdinne,Q21770530
Butgenbach,Q21770544
Celles,Q21770563
Cerfontaine,Q21770566
Chapelle-lez-Herlaimont,Q21770582
Charleroi,Q21770582
Chastre-Villeroux-Blanmont,Q21770582
Châtelet,Q31544320
Chaudfontaine,Q31541936
Chaumont-Gistoux,Q31541958
Chièvres,Q21768502
Chimay,Q31543353
Chiny,Q21768505
Ciney,Q21768514
Clavier,Q21768522
Colfontaine,Q31549500
Comblain-au-Pont,Q21768534
Courcelles,Q31554196
Court-Saint-Étienne,Q31554212
Couvin,Q21768574
Crisnée,Q21768581
Dalhem,Q21768594
Daverdisse,Q21768605
Dinant,Q31567774
Dison,Q21768672
Doische,Q22088310
Donceel,Q21768678
Dour,Q21768698
Durbuy,Q21768712
Écaussinnes-d’Enghien,Q1910691
Éghezée,Q21768726
Ellezelles,Q21768742
Enghien,Q31578134
Engis,Q21768761
Érezée,Q21768770
Erquelinnes,Q21768777
Esneux,Q12362368
Estaimpuis,Q21768790
Estinnes-au-Val,Q21768790
Étalle,Q21768795
Eupen,Q31579678
Faimes,Q21768817
Farciennes,Q21768828
Fauvillers,Q21768831
Ferrières,Q21768849
Fexhe-le-Haut-Clocher,Q21768852
Flémalle-Haute,Q2356647
Fléron,Q21768865
Fleurus,Q31583129
Flobecq,Q21768868
Floreffe,Q21768870
Florennes,Q21768873
Florenville,Q13212919
Forville,Q1866454
Fosses-la-Ville,Q720478
Frameries,Q720478
Frasnes-lez-Buissenal,Q3086686
Froidchapelle,Q21768962
Gedinne,Q21768986
Geer,Q21768987
Gembloux,Q31589725
Genappe,Q31589760
Gerpinnes,Q21769026
Gesves,Q21769032
Gouvy,Q21769078
Grez-Doiceau,Q13212992
Habay-la-Vieille,Q21767627
Hamoir,Q21767669
Hamois,Q21767671
Hannut,Q683141
Hastière-Lavaux,Q2186694
Havelange,Q21767720
Hensies,Q21767768
Herbeumont,Q21767768
Héron,Q21767794
Herstal,Q21767799
Herve,Q21767807
Hotton,Q21767891
Houffalize,Q21767894
Houyet,Q21767911
Huy,Q18542624
Incourt,Q31824037
Ittre,Q21767953
Jalhay,Q21767964
Jodoigne,Q31824038
Juprelle,Q21767127
Jurbise,Q21767129
"La Bruyère",Q21767334
"La Calamine",Q16216319
"La Hulpe",Q31824072
"La Louvière",Q21921673
"La Roche-en-Ardenne",Q21765473
Léglise,Q21765515
Lens,Q21765542
Lessines,Q31824077
Libin,Q21765567
Liège,Q21765593
Lierneux,Q21765575
Limbourg,Q21765585
Lincent,Q21765588
Lobbes,Q21765602
Lontzen,Q21765621
Louvain-la-Neuve,Q665868
Malmédy,Q31824088
Manage,Q31824089
Manhay,Q21765693
Marche-en-Famenne,Q21765709
Marchin,Q21765713
Martelange,Q21765733
Meix-devant-Virton,Q21765765
Merbes-le-Château,Q21765785
Messancy,Q21765791
Mettet,Q21765794
Modave,Q21765828
Momignies,Q21765930
Mons,Q21765930
Mons-lez-Liège,Q21765930
Mont-Saint-Guibert,Q31824108
Morlanwelz-Mariemont,Q2358095
Mouscron,Q37736670
Musson,Q21766012
Namur,Q51389725
Nandrin,Q21766022
Nassogne,Q20621818
Neufchâteau,Q21766053
Nivelles,Q31824124
Noville-les-Bois,Q3247707
Ohey,Q13216634
Olne,Q21766135
Onhaye,Q21766148
Oreye,Q21764245
Ottignies,Q3357775
Ouffet,Q21764278
Oupeye,Q31824127
Paliseul,Q12371903
Pecq,Q21764309
Pepinster,Q21764321
Péruwelz,Q21764327
Perwez,Q31466803
Philippeville,Q21764350
Plombières,Q21764380
Pont-à-Celles,Q21764393
Profondeville,Q21764434
"Province de Liège",Q1127
"Province de Namur",Q1125
"Province du Brabant Wallon",Q1122
"Province du Hainaut",Q1129
"Province du Luxembourg",Q1126
Quaregnon,Q31481282
Quévy-le-Petit,Q21764452
Quiévrain,Q21764452
Raeren,Q21764462
Ramillies,Q21764462
Rebecq-Rognon,Q21764482
Remicourt,Q21764500
Rendeux,Q21764509
Rixensart,Q31490281
Rochefort,Q21764555
Roeulx,Q34481995
Rouvroy,Q21764632
Rumes,Q21764647
Saint-Ghislain,Q31499143
Saint-Hubert,Q21764663
Saint-Léger,Q21764678
Saint-Nicolas,Q21764685
Saint-Vith,Q21764698
Sainte-Ode,Q21764661
Seneffe,Q21764775
Seraing,Q31516025
Silly,Q21764794
Soignies,Q21764852
Sombreffe,Q21764861
Somme-Leuze,Q21763286
Soumagne,Q21763297
Spa,Q21763303
Sprimont,Q21763331
Stavelot,Q31532444
Stoumont,Q31534739
Tellin,Q21763428
Tenneville,Q12376730
Theux,Q21763446
Thuin,Q21763461
Tinlot,Q21763481
Tintigny,Q21763483
Tournai,Q51462855
Trois-Ponts,Q21763511
Trooz,Q21763520
Tubize,Q31562355
Vaux-sur-Sûre,Q21763552
Verlaine,Q21763570
Verviers,Q31571899
Vielsalm,Q21760040
Villers-la-Ville,Q31573389
Villers-le-Bouillet,Q21760061
Virton,Q51367625
Visé,Q21760086
Waimes,Q21760162
Walcourt,Q21760163
Walhain-Saint-Paul,Q3544632
Wanze,Q21760185
Waremme,Q711474
Wasseiges,Q21760198
Waterloo,Q31579578
Wavre,Q21760204
Welkenraedt,Q21760236
Wellin,Q21760242
Yvoir,Q21760343
